# rate 12.5K
#stats; calls; calls-DEV; calls\\\_event\\\_path; calls\\\_event\\\_path-DEV; calls\\\_process; calls\\\_process-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; incomplete\\\_event\\\_path; incomplete\\\_event\\\_path-DEV; incomplete\\\_process; incomplete\\\_process-DEV; lost; lost-DEV; lost\\\_event\\\_path; lost\\\_event\\\_path-DEV; lost\\\_process; lost\\\_process-DEV; returned; returned-DEV; returned\\\_event\\\_path; returned\\\_event\\\_path-DEV; returned\\\_process; returned\\\_process-DEV; saved; saved-DEV; saved\\\_event\\\_path; saved\\\_event\\\_path-DEV; saved\\\_process; saved\\\_process-DEV; truncated; truncated-DEV;
detailed; 36394599.0; 14882.396; 2431846.0; 991.796; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 25588429.0; 2342524.115; 0.0; 0.0; 1070230.0; 76975.433; 0.0; 0.0; 12410641.333; 2182266.438; 827378.667; 145484.805; 4.0; 1.0; 23983951.667; 2196116.319; 1604467.333; 146407.871; 10.0; 1.0; 23983951.667; 2196116.319; 534237.333; 92986.269; 0.0; 0.0; 0.0; 0.0;
detailed\\\_all; 36439690.667; 19527.03; 2434850.333; 1300.465; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 25135040.0; 2432001.516; 4114333.333; 358046.939; 1371444.667; 119347.463; 0.0; 0.0; 12880781.333; 2263121.887; 858722.667; 150875.028; 5.0; 1.0; 23558903.333; 2280002.545; 1576127.667; 151998.156; 9.0; 1.0; 23558903.333; 2280002.545; 204683.0; 32765.152; 0.0; 0.0; 0.0; 0.0;
detailed\\\_all\\\_uhash; 36374993.0; 29461.575; 2430538.667; 1963.427; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 24584063.667; 2574833.785; 8020032.0; 811469.805; 1336676.667; 135223.434; 0.0; 0.0; 13332628.333; 2442725.484; 888843.667; 162845.331; 4.0; 0.0; 23042358.667; 2413908.795; 1541695.0; 160924.989; 10.0; 0.0; 23042358.667; 2413908.795; 205018.333; 25962.323; 0.0; 0.0; 4225177.0; 442428.782;
detailed\\\_all\\\_khash; 36591380.333; 12000.179; 2444964.0; 799.285; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 26252236.667; 2587412.507; 4308986.333; 374686.591; 1436338.333; 124896.05; 0.0; 0.0; 11985106.667; 2437693.964; 799004.333; 162511.967; 4.667; 1.155; 24606267.667; 2425698.38; 1645959.667; 161712.985; 9.333; 1.155; 24606267.667; 2425698.38; 209621.333; 36866.499; 0.0; 0.0; 4512182.667; 444684.025;


# rate 50K
#stats; calls; calls-DEV; calls\\\_event\\\_path; calls\\\_event\\\_path-DEV; calls\\\_process; calls\\\_process-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; incomplete\\\_event\\\_path; incomplete\\\_event\\\_path-DEV; incomplete\\\_process; incomplete\\\_process-DEV; lost; lost-DEV; lost\\\_event\\\_path; lost\\\_event\\\_path-DEV; lost\\\_process; lost\\\_process-DEV; returned; returned-DEV; returned\\\_event\\\_path; returned\\\_event\\\_path-DEV; returned\\\_process; returned\\\_process-DEV; saved; saved-DEV; saved\\\_event\\\_path; saved\\\_event\\\_path-DEV; saved\\\_process; saved\\\_process-DEV; truncated; truncated-DEV;
raw; 72452356.0; 28342.144; 0.0; 0.0; 27.0; 0.0; 0.0; 0.0; 6534.0; 0.0; 23313838.0; 694813.484; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 49138526.333; 672040.415; 0.0; 0.0; 5.667; 1.528; 23313829.667; 694815.01; 0.0; 0.0; 8.333; 1.528; 23313829.667; 694815.01; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0;
detailed; 72591751.0; 103253.82; 4845006.333; 6883.575; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 27547895.0; 942351.844; 0.0; 0.0; 1424978.0; 197546.223; 0.0; 0.0; 46770874.667; 782176.246; 3117989.333; 52068.502; 6.333; 0.577; 25820870.333; 883526.528; 1727017.0; 58825.069; 7.667; 0.577; 25820870.333; 883526.528; 302039.0; 256307.218; 0.0; 0.0; 0.0; 0.0;
detailed\\\_all; 72632308.667; 21578.053; 4847711.333; 1439.264; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 26979114.333; 2934123.483; 4805032.333; 350987.226; 1601793.667; 116894.416; 0.0; 0.0; 47344669.333; 2750645.167; 3156238.667; 183289.709; 5.667; 0.577; 25287633.333; 2750822.956; 1691472.667; 183300.918; 8.333; 0.577; 25287633.333; 2750822.956; 89679.0; 70200.611; 0.0; 0.0; 0.0; 0.0;
detailed\\\_all\\\_uhash; 72635920.0; 26832.183; 4847951.0; 1789.681; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 26721205.333; 3280347.986; 9722462.0; 1177415.648; 1620548.0; 196161.08; 0.0; 0.0; 47590081.0; 3079737.867; 3172586.667; 205243.626; 6.0; 0.0; 25045833.0; 3075393.815; 1675364.333; 204954.172; 8.0; 0.0; 25045833.0; 3075393.815; 54816.333; 8973.083; 0.0; 0.0; 4593641.667; 563933.86;
detailed\\\_all\\\_khash; 58763755.667; 575670.443; 3923135.667; 38378.443; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 27804371.0; 3140366.627; 4813587.333; 607441.435; 1604535.0; 202479.513; 0.0; 0.0; 32702357.333; 3519695.171; 2180166.0; 234646.182; 5.0; 1.0; 26061392.333; 2944095.103; 1742969.667; 196272.438; 9.0; 1.0; 26061392.333; 2944095.103; 138434.667; 23170.754; 0.0; 0.0; 4779454.0; 539892.234;


# rate 100K
#stats; calls; calls-DEV; calls\\\_event\\\_path; calls\\\_event\\\_path-DEV; calls\\\_process; calls\\\_process-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; incomplete\\\_event\\\_path; incomplete\\\_event\\\_path-DEV; incomplete\\\_process; incomplete\\\_process-DEV; lost; lost-DEV; lost\\\_event\\\_path; lost\\\_event\\\_path-DEV; lost\\\_process; lost\\\_process-DEV; returned; returned-DEV; returned\\\_event\\\_path; returned\\\_event\\\_path-DEV; returned\\\_process; returned\\\_process-DEV; saved; saved-DEV; saved\\\_event\\\_path; saved\\\_event\\\_path-DEV; saved\\\_process; saved\\\_process-DEV; truncated; truncated-DEV;
raw; 114980517.667; 343767.893; 0.0; 0.0; 27.0; 0.0; 0.0; 0.0; 6534.0; 0.0; 23271841.667; 254859.802; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 91708683.333; 459195.616; 0.0; 0.0; 6.667; 1.155; 23271834.333; 254859.528; 0.0; 0.0; 7.333; 1.155; 23271834.333; 254859.528; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0;
detailed; 108026957.0; 888346.332; 7207372.667; 59223.492; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 28891301.667; 3439551.804; 0.0; 0.0; 1666282.333; 166626.96; 0.0; 0.0; 80946613.333; 4109175.37; 5396415.667; 273926.063; 7.0; 1.0; 27080337.667; 3224597.477; 1810957.0; 214953.429; 7.0; 1.0; 27080337.667; 3224597.477; 144674.667; 49593.745; 0.0; 0.0; 0.0; 0.0;
detailed\\\_all; 104903727.0; 1161571.632; 6999155.667; 77439.945; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 29039608.0; 3213899.935; 5303483.667; 595935.215; 1767905.0; 198627.182; 0.0; 0.0; 77684345.333; 4173598.452; 5178930.667; 278235.066; 6.667; 1.155; 27219375.667; 3013038.164; 1820225.0; 200862.411; 7.333; 1.155; 27219375.667; 3013038.164; 52320.0; 15386.763; 0.0; 0.0; 0.0; 0.0;
detailed\\\_all\\\_uhash; 103015684.667; 1083395.969; 6873287.667; 72227.229; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 26537081.0; 2944701.64; 9778091.667; 1147814.584; 1629785.667; 191290.792; 0.0; 0.0; 78142442.333; 3838581.593; 5209451.0; 255891.476; 6.0; 0.0; 24873236.333; 2760671.396; 1663836.667; 184030.244; 8.0; 0.0; 24873236.333; 2760671.396; 34051.0; 15607.709; 0.0; 0.0; 4560577.0; 506166.113;
detailed\\\_all\\\_khash; 72039329.667; 13587.666; 4808181.0; 903.849; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 25022287.667; 441698.649; 4547623.0; 101541.353; 1516161.667; 33505.376; 0.0; 0.0; 48586187.667; 415658.972; 3239036.333; 27689.665; 7.0; 1.0; 23453136.0; 414111.138; 1569144.667; 27587.906; 7.0; 1.0; 23453136.0; 414111.138; 52983.0; 6253.774; 0.0; 0.0; 4300627.333; 76280.317;


# max
#stats; calls; calls-DEV; calls\\\_event\\\_path; calls\\\_event\\\_path-DEV; calls\\\_process; calls\\\_process-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; incomplete\\\_event\\\_path; incomplete\\\_event\\\_path-DEV; incomplete\\\_process; incomplete\\\_process-DEV; lost; lost-DEV; lost\\\_event\\\_path; lost\\\_event\\\_path-DEV; lost\\\_process; lost\\\_process-DEV; returned; returned-DEV; returned\\\_event\\\_path; returned\\\_event\\\_path-DEV; returned\\\_process; returned\\\_process-DEV; saved; saved-DEV; saved\\\_event\\\_path; saved\\\_event\\\_path-DEV; saved\\\_process; saved\\\_process-DEV; truncated; truncated-DEV;
raw; 255411020.667; 402671.663; 0.0; 0.0; 27.0; 0.0; 0.0; 0.0; 6534.0; 0.0; 23550704.667; 122172.652; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 231860324.0; 521690.75; 0.0; 0.0; 6.0; 0.0; 23550696.667; 122172.652; 0.0; 0.0; 8.0; 0.0; 23550696.667; 122172.652; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0;
